tweet_id,Number_of_Likes,retweet_count
815966073409433600,22756,8609
815745968457060357,0,4214
815736392542261248,10006,2309
815639385530101762,8351,1678
815390420867969024,10524,3876
814986499976527872,7767,1300
814638523311648768,11451,2747
814578408554463233,0,5945
814530161257443328,8800,1903
814153002265309185,29242,8846
813944609378369540,0,3244
813910438903693312,9440,1903
813812741911748608,37006,14246
813800681631023104,8453,1801
813217897535406080,18948,7439
813202720496779264,9387,1843
813187593374461952,20214,4453
813172488309972993,9430,1965
813157409116065792,7893,2258
813142292504645637,8611,2432
813130366689148928,4550,456
813127251579564032,12041,3193
813112105746448384,10482,2799
813096984823349248,10744,3690
813081950185472002,10053,2832
813066809284972545,8092,1994
813051746834595840,21344,7513
812781120811126785,7708,1946
812709060537683968,6729,1462
812503143955202048,6188,1245
812466873996607488,8092,1975
812372279581671427,13896,3735
811985624773361665,7389,1432
811744202451197953,7682,1634
811647686436880384,5711,760
811627233043480576,12994,3150
811386762094317568,21306,6512
810984652412424192,5436,1466
810896069567610880,9176,1808
810657578271330305,11170,2707
810284430598270976,35916,11545
810254108431155201,14972,3444
809920764300447744,15802,4028
809808892968534016,0,5004
809448704142938112,7062,1499
809220051211603969,20294,5718
809084759137812480,13482,3607
808838249661788160,10298,3112
808733504066486276,8048,2212
808501579447930884,11513,2664
808344865868283904,43386,21345
808134635716833280,0,6067
808106460588765185,8956,2250
808001312164028416,12752,3608
807621403335917568,14845,3707
807106840509214720,120573,56696
807059379405148160,0,7508
807010152071229440,13322,3948
806629075125202948,76179,35461
806620845233815552,0,5656
806576416489959424,4987,1990
806542213899489280,10415,2404
806242860592926720,0,11898
806219024703037440,6551,1219
805958939288408065,0,5490
805932879469572096,8436,1960
805826884734976000,6691,1869
805823200554876929,0,8215
805520635690676224,5857,1691
805487436403003392,8952,2574
805207613751304193,7974,1755
804738756058218496,13958,3908
804475857670639616,6259,2064
804413760345620481,0,3307
804026241225523202,45336,16535
803773340896923648,10259,2808
803692223237865472,0,7588
803638050916102144,11162,4231
803380650405482500,7923,1903
803321560782307329,0,5445
803276597545603072,10223,2512
802952499103731712,9186,2056
802624713319034886,0,2978
802600418706604034,7232,1504
802572683846291456,9101,2570
802323869084381190,16534,5968
802265048156610565,6893,1407
802239329049477120,9253,2683
802185808107208704,0,279
801958328846974976,7891,1751
801854953262350336,1811,243
801538201127157760,8378,2115
801285448605831168,6175,842
801167903437357056,24955,6067
801127390143516673,0,4039
801115127852503040,8230,2153
800859414831898624,696,98
800855607700029440,0,1645
800751577355128832,10757,2864
800513324630806528,13389,3058
800459316964663297,9683,2224
800443802682937345,0,4424
800388270626521089,11371,2874
800188575492947969,0,4032
800141422401830912,15580,2606
800018252395122689,28904,13477
799774291445383169,0,4803
799757965289017345,8547,2219
799422933579902976,8210,1970
799308762079035393,0,5599
799297110730567681,10086,2829
799063482566066176,8210,2519
798933969379225600,13353,4575
798925684722855936,7635,1475
798705661114773508,0,6797
798701998996647937,0,7969
798697898615730177,0,6658
798694562394996736,0,5079
798686750113755136,0,2388
798682547630837760,0,4824
798673117451325440,0,5672
798665375516884993,0,4002
798644042770751489,0,1896
798628517273620480,0,2021
798585098161549313,0,5852
798576900688019456,0,5985
798340744599797760,0,3425
798209839306514432,10628,2617
797971864723324932,11842,3180
797545162159308800,14828,4986
797236660651966464,20334,6743
797165961484890113,227,26
796904159865868288,0,9132
796865951799083009,7829,1957
796759840936919040,12074,3113
796563435802726400,0,7440
796484825502875648,7720,1802
796387464403357696,11214,4247
796177847564038144,0,14621
796149749086875649,32894,14621
796125600683540480,5060,1853
796116448414461957,9282,2474
796080075804475393,8630,2365
796031486298386433,11020,3798
795464331001561088,50635,24204
795400264262053889,10256,2946
795076730285391872,16514,5556
794983741416415232,0,3453
794926597468000259,10448,2364
794355576146903043,0,10551
794332329137291264,9757,2737
794205286408003585,9400,3394
793962221541933056,17157,5004
793845145112371200,9402,1914
793614319594401792,0,3211
793601777308463104,8131,1668
793500921481273345,10879,2431
793286476301799424,25085,9388
793271401113350145,8865,2449
793256262322548741,20358,8536
793241302385262592,10719,3373
793226087023144960,10030,2937
793210959003287553,9094,2865
793195938047070209,15581,5762
793180763617361921,7071,2050
793165685325201412,9590,2853
793150605191548928,6301,1742
793135492858580992,6550,2554
793120401413079041,12916,4010
792913359805018113,14612,4070
792883833364439040,11528,4367
792773781206999040,7487,1715
792394556390137856,13710,4396
792050063153438720,7292,1843
791821351946420224,0,21582
791784077045166082,0,9816
791780927877898241,0,3909
791774931465953280,46003,22713
791672322847637504,11971,3211
791406955684368384,13379,4214
791312159183634433,8948,2596
791026214425268224,0,4195
790987426131050500,10020,2182
790946055508652032,16962,4788
790723298204217344,0,2363
790698755171364864,8381,1971
790581949425475584,21043,7326
790337589677002753,7985,1921
790277117346975746,12795,3244
790227638568808452,0,3651
789986466051088384,9438,2363
789960241177853952,0,4211
789903600034189313,10553,4223
789628658055020548,7643,1810
789599242079838210,6891,1970
789530877013393408,11960,3453
789314372632018944,8811,2346
789280767834746880,0,5054
789268448748703744,9277,2660
789137962068021249,9901,2862
788908386943430656,27939,12745
788765914992902144,27864,10551
788552643979468800,0,7338
788412144018661376,15830,5390
788178268662984705,7355,2140
788150585577050112,6228,1312
788070120937619456,0,3501
788039637453406209,6240,1349
787810552592695296,8799,3115
787717603741622272,10440,2844
787397959788929025,11070,2902
787322443945877504,7926,1777
787111942498508800,0,6888
786963064373534720,27102,8138
786729988674449408,0,2470
786709082849828864,18576,6238
786664955043049472,10790,2611
786595970293370880,9592,3178
786363235746385920,11081,3586
786286427768250368,8109,2904
786233965241827333,15521,4843
786051337297522688,1451,159
786036967502913536,0,7165
785927819176054784,11592,3248
785872687017132033,6802,1856
785639753186217984,7977,2281
785533386513321988,9264,2034
785515384317313025,6211,1284
785264754247995392,7377,1676
785170936622350336,12244,4931
784826020293709826,10287,3307
784517518371221505,9120,2587
784431430411685888,5791,1293
784183165795655680,20431,8215
784057939640352768,30248,11340
783839966405230592,30526,10981
783821107061198850,7471,2007
783695101801398276,10635,3278
783466772167098368,8586,2289
783391753726550016,17149,5586
783347506784731136,0,5652
783334639985389568,29626,11898
783085703974514689,8287,2239
782969140009107456,24497,7508
782747134529531904,7593,1438
